"source","id_str","text","created_at","retweet_count","in_reply_to_user_id_str","favorite_count","is_retweet"
"Twitter for iPhone","986994992177561600","Governor Jerry Brown announced he will deploy “up to 400 National Guard Troops” to do nothing. The crime rate in California is high enough, and the Federal Government will not be paying for Governor Brown’s charade. We need border security and action, not words!","Thu Apr 19 15:48:38 +0000 2018",2289,,8312,false
"Twitter for iPhone","986988633822412800","Thank you San Diego County for defending the rule of law and supporting our lawsuit against California's illegal and unconstitutional 'Sanctuary' policies. California's dangerous policies release violent criminals back into our communities, putting all Americans at risk.","Thu Apr 19 15:23:22 +0000 2018",4820,,19051,false
"Twitter for iPhone","986979039670931458","Great meeting with Prime Minister Abe of Japan, who has just left Florida. Talked in depth about North Korea, Military and Trade. Good things will happen!","Thu Apr 19 14:45:14 +0000 2018",5773,,26177,false
"Twitter for iPhone","986801143014621185","It was my great honor to host my friend @JPN_PMO @AbeShinzo and his delegation at Mar-a-Lago for the past two days. Lots accomplished, thank you! #Success🇺🇸🇯🇵 https://t.co/2NnItfwfBl","Thu Apr 19 02:58:21 +0000 2018",11406,,47814,false
"Twitter for iPhone","986789533172760576","RT @StateDept: .@POTUS Trump thanks Prime Minister @AbeShinzo for his support, discusses U.S.-Japan cooperation on #NorthKorea, defense, an…","Thu Apr 19 02:12:13 +0000 2018",5607,,0,true
"Twitter for iPhone","986719240240746497","Great working luncheon with U.S. and Japanese Delegations this afternoon! https://t.co/ywU2CEih8b","Wed Apr 18 21:32:53 +0000 2018",10803,,53213,false
"Twitter for iPhone","986711015630036992","Prime Minister @AbeShinzo of Japan and myself this morning building an even deeper and better relationship while playing a quick round of golf at Trump International Golf Club. https://t.co/YqU7pHiFoU","Wed Apr 18 21:00:12 +0000 2018",13174,,62482,false
"Twitter for iPhone","986643179452747776","Best wishes to Prime Minister @Netanyahu and all of the people of Israel on the 70th Anniversary of your Great Independence. We have no better friends anywhere. Looking forward to moving our Embassy to Jerusalem next month!","Wed Apr 18 16:30:39 +0000 2018",21573,,89573,false
"Twitter for iPhone","986576502358671361","Slippery James Comey, the worst FBI Director in history, was not fired because of the phony Russia investigation where, by the way, there was NO COLLUSION (except by the Dems)!","Wed Apr 18 12:05:42 +0000 2018",21032,,87428,false
"Twitter for iPhone","986555533535731712","Mike Pompeo met with Kim Jong Un in North Korea last week. Meeting went very smoothly and a good relationship was formed. Details of Summit are being worked out now. Denuclearization will be a great thing for World, but also for North Korea!","Wed Apr 18 10:42:23 +0000 2018",24686,,93357,false
"Twitter for iPhone","986547093610299392","A sketch years later about a nonexistent man. A total con job, playing the Fake News Media for Fools (but they know it)! https://t.co/9Is7mHBFda","Wed Apr 18 10:08:50 +0000 2018",16948,,56513,false
