"source","text","created_at","retweet_count","favorite_count","is_retweet","id_str","sentiment"
"Twitter for iPhone","Still can’t believe that Bloomberg violated a firm OFF THE RECORD statement. Will they put out an apology?","Sat Sep 01 02:40:23 +0000 2018",5540,21996,false,"1035718986871320577","{""neg"":0.173,""neu"":0.765,""pos"":0.061,""compound"":-0.4939}"
"Twitter for iPhone","Great day in North Carolina where Republicans will do very well!","Sat Sep 01 02:36:57 +0000 2018",3885,18946,false,"1035718119459893250","{""neg"":0,""neu"":0.57,""pos"":0.43,""compound"":0.7773}"
"Twitter for iPhone","The ABC/Washington Post Poll was by far the least accurate one 2 weeks out from the 2016 Election. I call it a suppression poll - but by Election Day they brought us, out of shame, to about even. They will never learn!","Sat Sep 01 02:35:28 +0000 2018",5164,20129,false,"1035717747936768000","{""neg"":0.107,""neu"":0.893,""pos"":0,""compound"":-0.6643}"
"Twitter for iPhone",".@Rasmussen_Poll just came out at 48% approval rate despite the constant and intense Fake News. Higher than Election Day and higher than President Obama. Rasmussen was one of the most accurate Election Day polls!","Sat Sep 01 02:25:38 +0000 2018",5717,21855,false,"1035715271418413056","{""neg"":0.08,""neu"":0.799,""pos"":0.121,""compound"":0.1511}"
"Twitter for iPhone","https://t.co/c79zLeREOA","Sat Sep 01 00:01:21 +0000 2018",8506,31907,false,"1035678961349668864","{""neg"":0,""neu"":1,""pos"":0,""compound"":0}"
"Twitter for iPhone","“President Donald J. Trump is Strengthening Retirement Security for American Workers” https://t.co/cKeATuKXDe","Fri Aug 31 22:07:25 +0000 2018",9169,34220,false,"1035650292782653441","{""neg"":0,""neu"":0.641,""pos"":0.359,""compound"":0.6808}"
"Twitter for iPhone","Wow, I made OFF THE RECORD COMMENTS to Bloomberg concerning Canada, and this powerful understanding was BLATANTLY VIOLATED. Oh well, just more dishonest reporting. I am used to it. At least Canada knows where I stand!","Fri Aug 31 18:37:04 +0000 2018",21059,86847,false,"1035597354395680774","{""neg"":0.178,""neu"":0.614,""pos"":0.207,""compound"":0.0813}"
"Twitter for iPhone","I will be doing a major rally for Senator Ted Cruz in October. I’m picking the biggest stadium in Texas we can find. As you know, Ted has my complete and total Endorsement. His opponent is a disaster for Texas - weak on Second Amendment, Crime, Borders, Military, and Vets!","Fri Aug 31 17:09:01 +0000 2018",25693,91425,false,"1035575198169411584","{""neg"":0.196,""neu"":0.762,""pos"":0.042,""compound"":-0.8588}"
"Twitter for iPhone","Thank you Indiana, I love you!
https://t.co/To6s9ViMj1","Fri Aug 31 01:50:40 +0000 2018",18807,76891,false,"1035344085798801408","{""neg"":0,""neu"":0.364,""pos"":0.636,""compound"":0.7901}"
"Media Studio","Throwback Thursday! #MAGA https://t.co/8slzITa1l6","Thu Aug 30 19:59:32 +0000 2018",25370,88927,false,"1035255721951035392","{""neg"":0,""neu"":1,""pos"":0,""compound"":0}"
"Twitter Web Client","Kevin Stitt ran a great winning campaign against a very tough opponent in Oklahoma. Kevin is a very successful businessman who will be a fantastic Governor. He is strong on Crime &amp; Borders, the 2nd Amendment, &amp; loves our Military &amp; Vets. He has my complete and total Endorsement!","Thu Aug 30 18:30:04 +0000 2018",16006,66382,false,"1035233203609657344","{""neg"":0.08,""neu"":0.545,""pos"":0.375,""compound"":0.9661}"
"Twitter for iPhone","CNN is working frantically to find their “source.” Look hard because it doesn’t exist. Whatever was left of CNN’s credibility is now gone!","Thu Aug 30 16:54:09 +0000 2018",31074,119468,false,"1035209068095434752","{""neg"":0.163,""neu"":0.837,""pos"":0,""compound"":-0.4753}"
"Twitter for iPhone","Will be going to Evansville, Indiana, tonight for a big crowd rally with Mike Braun, a very successful businessman who is campaigning to be Indiana’s next U.S. Senator. He is strong on Crime &amp; Borders, the 2nd Amendment, and loves our Military &amp; Vets. Will be a big night!","Thu Aug 30 13:49:51 +0000 2018",18469,74867,false,"1035162684633825286","{""neg"":0.062,""neu"":0.738,""pos"":0.2,""compound"":0.8353}"
"Twitter for iPhone","I am very excited about the person who will be taking the place of Don McGahn as White House Counsel! I liked Don, but he was NOT responsible for me not firing Bob Mueller or Jeff Sessions. So much Fake Reporting and Fake News!","Thu Aug 30 13:39:00 +0000 2018",13577,57643,false,"1035159956507566080","{""neg"":0.166,""neu"":0.655,""pos"":0.179,""compound"":-0.5375}"
"Twitter for iPhone","The Rigged Russia Witch Hunt did not come into play, even a little bit, with respect to my decision on Don McGahn!","Thu Aug 30 13:17:48 +0000 2018",12111,54392,false,"1035154621357064192","{""neg"":0.27,""neu"":0.626,""pos"":0.104,""compound"":-0.5411}"
"Twitter for iPhone","Wow, Nellie Ohr, Bruce Ohr’s wife, is a Russia expert who is fluent in Russian. She worked for Fusion GPS where she was paid a lot. Collusion! Bruce was a boss at the Department of Justice and is, unbelievably, still there!","Thu Aug 30 12:54:13 +0000 2018",25592,83166,false,"1035148684432953346","{""neg"":0,""neu"":0.822,""pos"":0.178,""compound"":0.8309}"
"Twitter for iPhone","I am very excited about the person who will be taking the place of Don McGahn as White House Councel! I liked Don, but he was NOT responsible for me not firing Bob Mueller or Jeff Sessions. So much Fake Reporting and Fake News!","Thu Aug 30 12:12:22 +0000 2018",5876,22917,false,"1035138155794575360","{""neg"":0.166,""neu"":0.655,""pos"":0.179,""compound"":-0.5375}"
"Twitter for iPhone","The only thing James Comey ever got right was when he said that President Trump was not under investigation!","Thu Aug 30 11:56:28 +0000 2018",16132,66844,false,"1035134150590783489","{""neg"":0,""neu"":1,""pos"":0,""compound"":0}"
"Twitter for iPhone","Ivanka Trump &amp; Jared Kushner had NOTHING to do with the so called “pushing out” of Don McGahn.The Fake News Media has it, purposely,so wrong! They love to portray chaos in the White House when they know that chaos doesn’t exist-just a “smooth running machine” with changing parts!","Thu Aug 30 11:44:28 +0000 2018",17809,72454,false,"1035131133997068288","{""neg"":0.235,""neu"":0.696,""pos"":0.07,""compound"":-0.8745}"
"Twitter for iPhone","The news from the Financial Markets is even better than anticipated. For all of you that have made a fortune in the markets, or seen your 401k’s rise beyond your wildest expectations, more good news is coming!","Thu Aug 30 11:20:48 +0000 2018",17933,76449,false,"1035125176617365504","{""neg"":0,""neu"":0.842,""pos"":0.158,""compound"":0.7495}"
"Twitter for iPhone","I just cannot state strongly enough how totally dishonest much of the Media is. Truth doesn’t matter to them, they only have their hatred &amp; agenda. This includes fake books, which come out about me all the time, always anonymous sources, and are pure fiction. Enemy of the People!","Thu Aug 30 11:11:58 +0000 2018",30160,120239,false,"1035122954697433088","{""neg"":0.276,""neu"":0.669,""pos"":0.055,""compound"":-0.9382}"
"Twitter for iPhone","What’s going on at @CNN is happening, to different degrees, at other networks - with @NBCNews being the worst. The good news is that Andy Lack(y) is about to be fired(?) for incompetence, and much worse. When Lester Holt got caught fudging my tape on Russia, they were hurt badly!","Thu Aug 30 11:02:16 +0000 2018",18034,67721,false,"1035120511259500544","{""neg"":0.274,""neu"":0.68,""pos"":0.046,""compound"":-0.937}"
"Twitter for iPhone","The hatred and extreme bias of me by @CNN has clouded their thinking and made them unable to function. But actually, as I have always said, this has been going on for a long time. Little Jeff Z has done a terrible job, his ratings suck, &amp; AT&amp;T should fire him to save credibility!","Thu Aug 30 10:50:20 +0000 2018",23103,95565,false,"1035117507839967232","{""neg"":0.251,""neu"":0.697,""pos"":0.052,""compound"":-0.8832}"
"Twitter for iPhone","Watch: Kanye West Says Trump Wants to Be the ‘Greatest President’ for Black Americans https://t.co/ECxTzVNZeG via @BreitbartNews","Thu Aug 30 02:27:24 +0000 2018",20116,69084,false,"1034990940593823746","{""neg"":0,""neu"":1,""pos"":0,""compound"":0}"
"Twitter for iPhone","...charge of the FISA court. He should direct the Presiding Judge, Rosemary Collier, to hold a hearing, haul all of these people from the DOJ &amp; FBI in there, &amp; if she finds there were crimes committed, and there were, there should be a criminal referral by her....” @GreggJarrett","Thu Aug 30 01:51:50 +0000 2018",19824,67878,false,"1034981992692166658","{""neg"":0.067,""neu"":0.891,""pos"":0.042,""compound"":-0.3182}"
"Twitter for iPhone","“Ohr told the FBI it (the Fake Dossier) wasn’t true, it was a lie and the FBI was determined to use it anyway to damage Trump and to perpetrate a fraud on the court to spy on the Trump campaign. This is a fraud on the court. The Chief Justice of the U.S. Supreme Court is in......","Thu Aug 30 01:43:30 +0000 2018",20967,70324,false,"1034979892524457985","{""neg"":0.193,""neu"":0.638,""pos"":0.169,""compound"":-0.4019}"
"Twitter for iPhone","“Lanny Davis admits being anonymous source in CNN Report.” @BretBaier  Oh well, so much for CNN saying it wasn’t Lanny. No wonder their ratings are so low, it’s FAKE NEWS!","Thu Aug 30 00:44:26 +0000 2018",21729,81438,false,"1034965029676883970","{""neg"":0.242,""neu"":0.647,""pos"":0.111,""compound"":-0.721}"
"Twitter for iPhone","CNN is being torn apart from within based on their being caught in a major lie and refusing to admit the mistake. Sloppy @carlbernstein, a man who lives in the past and thinks like a degenerate fool, making up story after story, is being laughed at all over the country! Fake News","Wed Aug 29 22:43:49 +0000 2018",30199,113079,false,"1034934675972792320","{""neg"":0.217,""neu"":0.665,""pos"":0.118,""compound"":-0.7263}"
"Twitter for iPhone","...of money on joint U.S.-South Korea war games. Besides, the President can instantly start the joint exercises again with South Korea, and Japan, if he so chooses. If he does, they will be far bigger than ever before. As for the U.S.–China trade disputes, and other...","Wed Aug 29 21:23:10 +0000 2018",9946,42672,false,"1034914377768620037","{""neg"":0.12,""neu"":0.88,""pos"":0,""compound"":-0.7184}"
"Twitter for iPhone","...differences, they will be resolved in time by President Trump and China’s great President Xi Jinping. Their relationship and bond remain very strong.","Wed Aug 29 21:23:10 +0000 2018",10399,45522,false,"1034914379391807488","{""neg"":0,""neu"":0.68,""pos"":0.32,""compound"":0.8553}"
"Twitter for iPhone","...considerable aid, including money, fuel, fertilizer and various other commodities. This is not helpful! Nonetheless, the President believes that his relationship with Kim Jong Un is a very good and warm one, and there is no reason at this time to be spending large amounts...","Wed Aug 29 21:23:09 +0000 2018",8731,30770,false,"1034914376141168640","{""neg"":0.09,""neu"":0.797,""pos"":0.113,""compound"":0.277}"
"Twitter for iPhone","STATEMENT FROM THE WHITE HOUSE

President Donald J. Trump feels strongly that North Korea is under tremendous pressure from China because of our major trade disputes with the Chinese Government. At the same time, we also know that China is providing North Korea with...","Wed Aug 29 21:23:08 +0000 2018",15568,58860,false,"1034914371099676674","{""neg"":0.091,""neu"":0.865,""pos"":0.044,""compound"":-0.296}"
"Twitter for iPhone","#StopTheBias https://t.co/xqz599iQZw","Wed Aug 29 20:55:45 +0000 2018",38804,104282,false,"1034907478566359041","{""neg"":0,""neu"":1,""pos"":0,""compound"":0}"
"Twitter for iPhone","How the hell is Bruce Ohr still employed at the Justice Department? Disgraceful!  Witch Hunt!","Wed Aug 29 15:12:23 +0000 2018",25889,99339,false,"1034821067423014913","{""neg"":0.333,""neu"":0.52,""pos"":0.147,""compound"":-0.6467}"
"Twitter for iPhone","Consumer Confidence Index, just out, is the HIGHEST IN 18 YEARS! Also, GDP revised upward to 4.2 from 4.1. Our country is doing great!","Wed Aug 29 14:56:38 +0000 2018",20403,78521,false,"1034817106632761344","{""neg"":0,""neu"":0.734,""pos"":0.266,""compound"":0.8395}"
"Twitter for iPhone","White House Counsel Don McGahn will be leaving his position in the fall, shortly after the confirmation (hopefully) of Judge Brett Kavanaugh to the United States Supreme Court. I have worked with Don for a long time and truly appreciate his service!","Wed Aug 29 14:30:35 +0000 2018",12491,59624,false,"1034810550025433090","{""neg"":0,""neu"":0.745,""pos"":0.255,""compound"":0.906}"
"Twitter for iPhone","Martha McSally is an extraordinary woman. She was a very talented fighter jet pilot and is now a highly respected member of Congress. She is Strong on Crime, the Border and our  under siege 2nd Amendment. Loves our Military and our Vets. Has my total and complete Endorsement!","Wed Aug 29 12:52:05 +0000 2018",13757,59748,false,"1034785759377727490","{""neg"":0.057,""neu"":0.64,""pos"":0.303,""compound"":0.932}"
"Twitter for iPhone","When you see “anonymous source,” stop reading the story, it is fiction!","Wed Aug 29 12:41:38 +0000 2018",37479,144895,false,"1034783131855998976","{""neg"":0.185,""neu"":0.815,""pos"":0,""compound"":-0.3595}"
"Twitter for iPhone","“Anonymous Sources are really starting to BURN the media.” @FoxNews The fact is that many anonymous sources don’t even exist. They are fiction made up by the Fake News reporters. Look at the lie that Fake CNN is now in. They got caught red handed! Enemy of the People!","Wed Aug 29 12:40:05 +0000 2018",28910,101845,false,"1034782741714399232","{""neg"":0.183,""neu"":0.817,""pos"":0,""compound"":-0.8829}"
"Twitter for iPhone","Big Election Wins last night! The Republican Party will MAKE AMERICA GREAT AGAIN! Actually, it is happening faster than anybody thought possible! It is morphing into KEEP AMERICA GREAT!","Wed Aug 29 12:23:18 +0000 2018",17684,73027,false,"1034778515789545473","{""neg"":0,""neu"":0.592,""pos"":0.408,""compound"":0.9597}"
"Twitter for iPhone","“Hillary Clinton and the DNC paid for information from the Russian government to use against her government - there’s no doubt about that!” @TuckerCarlson","Wed Aug 29 12:18:10 +0000 2018",19856,69602,false,"1034777225336369152","{""neg"":0.192,""neu"":0.808,""pos"":0,""compound"":-0.6114}"
"Twitter for iPhone","“The Obama people did something that’s never been done...They spied on a rival presidential campaign. Would it be OK if Trump did it next? I am losing faith that our system is on the level. I’m beginning to think it is rotten &amp; corrupt. Scary stuff Obama did.” @TuckerCarlson  DOJ","Wed Aug 29 12:12:38 +0000 2018",25522,82587,false,"1034775835004358656","{""neg"":0.157,""neu"":0.744,""pos"":0.099,""compound"":-0.5215}"
"Twitter for iPhone","Not only did Congressman Ron DeSantis easily win the Republican Primary, but his opponent in November is his biggest dream....a failed Socialist Mayor named Andrew Gillum who has allowed crime &amp; many other problems to flourish in his city. This is not what Florida wants or needs!","Wed Aug 29 12:00:37 +0000 2018",18440,70513,false,"1034772809350885376","{""neg"":0.221,""neu"":0.71,""pos"":0.069,""compound"":-0.8988}"
"Twitter for iPhone","Martha McSally, running in the Arizona Primary for U.S. Senate, was endorsed by rejected Senator Jeff Flake....and turned it down - a first! Now Martha, a great U.S. Military fighter jet pilot and highly respected member of Congress, WINS BIG. Congratulations, and on to November!","Wed Aug 29 04:44:54 +0000 2018",14916,67888,false,"1034663158357655552","{""neg"":0.057,""neu"":0.6,""pos"":0.343,""compound"":0.9494}"
"Twitter for iPhone","Hillary Clinton’s Emails, many of which are Classified Information, got hacked by China. Next move better be by the FBI &amp; DOJ or, after all of their other missteps (Comey, McCabe, Strzok, Page, Ohr, FISA, Dirty Dossier etc.), their credibility will be forever gone!","Wed Aug 29 04:11:45 +0000 2018",30579,97183,false,"1034654816046329856","{""neg"":0.118,""neu"":0.823,""pos"":0.058,""compound"":-0.4574}"
"Twitter for iPhone","New Poll - A majority of Americans think that John Brennan and James Comey should have their Security Clearances Revoked. Not surprised! @FoxNews","Wed Aug 29 02:26:35 +0000 2018",23747,100631,false,"1034628350986338308","{""neg"":0,""neu"":0.805,""pos"":0.195,""compound"":0.5562}"
"Twitter for iPhone","Our new Trade Deal with Mexico focuses on FARMERS, GROWTH for our country, tearing down TRADE BARRIERS, JOBS and having companies continue to POUR BACK INTO OUR COUNTRY. It will be a big hit!","Wed Aug 29 02:19:58 +0000 2018",18647,78051,false,"1034626683066826753","{""neg"":0,""neu"":0.898,""pos"":0.102,""compound"":0.561}"
"Twitter for iPhone","Add the 2026 World Cup to our long list of accomplishments!","Wed Aug 29 01:21:59 +0000 2018",17907,94757,false,"1034612092253470721","{""neg"":0,""neu"":1,""pos"":0,""compound"":0}"
"Twitter for iPhone","Report just out: “China hacked Hillary Clinton’s private Email Server.” Are they sure it wasn’t Russia (just kidding!)? What are the odds that the FBI and DOJ are right on top of this? Actually, a very big story. Much classified information!","Wed Aug 29 01:16:58 +0000 2018",36860,122356,false,"1034610829860261895","{""neg"":0.06,""neu"":0.827,""pos"":0.113,""compound"":0.3278}"
"Twitter for iPhone","Congratulations to Governor Rick Scott of Florida on his conclusive Republican Primary Win. He will be a great Senator!","Wed Aug 29 00:48:11 +0000 2018",15501,70639,false,"1034603586817339392","{""neg"":0,""neu"":0.554,""pos"":0.446,""compound"":0.92}"
"Twitter for iPhone","Such a fantastic win for Ron DeSantis and the people of the Great State of Florida. Ron will be a fantastic Governor. On to November!","Wed Aug 29 00:32:05 +0000 2018",18468,80502,false,"1034599532787630080","{""neg"":0,""neu"":0.552,""pos"":0.448,""compound"":0.9468}"
"Twitter for iPhone","https://t.co/H2FiSVxyOF","Tue Aug 28 20:50:34 +0000 2018",12383,53366,false,"1034543787593347072","{""neg"":0,""neu"":1,""pos"":0,""compound"":0}"
"Twitter for iPhone","“Consumer confidence pops in August to highest level since October 2000” https://t.co/1Gg5IOtbNa","Tue Aug 28 17:28:28 +0000 2018",16455,63235,false,"1034492929153359872","{""neg"":0,""neu"":0.769,""pos"":0.231,""compound"":0.5106}"
